year,month,cat_name,location,total_money,total_discount
2017,9,,The Dram Shop Front St.,3854.91,444.09
2017,9,Ambers/Pales - Draught,The Dram Shop Front St.,4605.42,666.08
2017,9,Barley Wine - Bottled,The Dram Shop Front St.,64.63,1.62
2017,9,Belgian - Bottled,The Dram Shop Front St.,78.0,0.0
2017,9,Belgian - Draught,The Dram Shop Front St.,1400.37,40.88
2017,9,Big Beer - Bottled,The Dram Shop Front St.,24.75,2.25
2017,9,Cider - Bottled,The Dram Shop Front St.,130.31,1.19
2017,9,Cider - Draught,The Dram Shop Front St.,4494.94,189.06
2017,9,FLIGHT,The Dram Shop Front St.,658.85,1.15
2017,9,Glassware,The Dram Shop Front St.,226.0,25.0
2017,9,Growlers,The Dram Shop Front St.,1265.44,9.56
2017,9,IPA - Bottled,The Dram Shop Front St.,144.0,6.0
2017,9,IPA - Draught,The Dram Shop Front St.,14025.96,903.04
2017,9,Kombucha,The Dram Shop Front St.,906.7,47.05
2017,9,Lagers/Pils/Wheat - Bottled,The Dram Shop Front St.,72.0,0.0
